# r, g, b
1.865480800000000000e+07, 3.714003000000000000e+07, 1.862698800000000000e+07
1.872304200000000000e+07, 3.722307500000000000e+07, 1.863745300000000000e+07
1.875961100000000000e+07, 3.731132900000000000e+07, 1.868717900000000000e+07
1.880084200000000000e+07, 3.739914900000000000e+07, 1.874082500000000000e+07
1.881473200000000000e+07, 3.748868000000000000e+07, 1.878182900000000000e+07
1.885885700000000000e+07, 3.753185400000000000e+07, 1.884177600000000000e+07
1.891698100000000000e+07, 3.760370100000000000e+07, 1.886814500000000000e+07
1.895011700000000000e+07, 3.766698100000000000e+07, 1.889031900000000000e+07
1.897800900000000000e+07, 3.776344500000000000e+07, 1.889263200000000000e+07
1.901574600000000000e+07, 3.783266700000000000e+07, 1.895297500000000000e+07
1.899432900000000000e+07, 3.784008600000000000e+07, 1.897490900000000000e+07
1.907558500000000000e+07, 3.797566800000000000e+07, 1.898982000000000000e+07
1.909692400000000000e+07, 3.796395600000000000e+07, 1.904315400000000000e+07
1.912652300000000000e+07, 3.801294300000000000e+07, 1.906605800000000000e+07
1.913025500000000000e+07, 3.807391500000000000e+07, 1.910716800000000000e+07
