r, g, b, T, t 
2.026242900000000000e+07, 3.599183100000000000e+07, 1.965188800000000000e+07, 3.020249999999999773e+02, 1.631736188585696936e+09
1.892243400000000000e+07, 3.680586400000000000e+07, 1.828667400000000000e+07, 3.020869999999999891e+02, 1.631736207705571175e+09
1.903929100000000000e+07, 3.705151500000000000e+07, 1.841145100000000000e+07, 3.020869999999999891e+02, 1.631736226985801935e+09
1.911313800000000000e+07, 3.714714500000000000e+07, 1.844829600000000000e+07, 3.022119999999999891e+02, 1.631736246185837984e+09
1.918115600000000000e+07, 3.732866000000000000e+07, 1.853265700000000000e+07, 3.022749999999999773e+02, 1.631736265305616856e+09
1.922027300000000000e+07, 3.744023500000000000e+07, 1.860310300000000000e+07, 3.023369999999999891e+02, 1.631736284585810900e+09
1.928488800000000000e+07, 3.752890600000000000e+07, 1.863449100000000000e+07, 3.023369999999999891e+02, 1.631736303785668135e+09
1.930102300000000000e+07, 3.757805800000000000e+07, 1.868488700000000000e+07, 3.024619999999999891e+02, 1.631736322985776901e+09
1.930709200000000000e+07, 3.763678900000000000e+07, 1.868541500000000000e+07, 3.024619999999999891e+02, 1.631736342185765028e+09
1.937065600000000000e+07, 3.769501600000000000e+07, 1.872082900000000000e+07, 3.025249999999999773e+02, 1.631736361385923147e+09
1.935720300000000000e+07, 3.772089800000000000e+07, 1.874149600000000000e+07, 3.025249999999999773e+02, 1.631736380505714893e+09
1.936938000000000000e+07, 3.774713500000000000e+07, 1.877095900000000000e+07, 3.026499999999999773e+02, 1.631736399705877066e+09
1.942614800000000000e+07, 3.778617200000000000e+07, 1.877442300000000000e+07, 3.025869999999999891e+02, 1.631736418985880136e+09
1.938252300000000000e+07, 3.782338500000000000e+07, 1.876642900000000000e+07, 3.026499999999999773e+02, 1.631736438345202923e+09
1.939396300000000000e+07, 3.641779200000000000e+07, 1.891581700000000000e+07, 3.026499999999999773e+02, 1.631736457465684891e+09
1.942538400000000000e+07, 3.786920000000000000e+07, 1.882479800000000000e+07, 3.027119999999999891e+02, 1.631736476665690184e+09
1.943492800000000000e+07, 3.785240100000000000e+07, 1.881283200000000000e+07, 3.027119999999999891e+02, 1.631736495945767879e+09
1.944426200000000000e+07, 3.791682500000000000e+07, 1.883560300000000000e+07, 3.027749999999999773e+02, 1.631736515066171885e+09
1.944577100000000000e+07, 3.787302100000000000e+07, 1.883180200000000000e+07, 3.027749999999999773e+02, 1.631736534345194101e+09
1.947866200000000000e+07, 3.789126100000000000e+07, 1.882813400000000000e+07, 3.027749999999999773e+02, 1.631736553465735912e+09
1.944290700000000000e+07, 3.789488000000000000e+07, 1.884406900000000000e+07, 3.028369999999999891e+02, 1.631736572745784998e+09
1.946745600000000000e+07, 3.793248600000000000e+07, 1.885021400000000000e+07, 3.028369999999999891e+02, 1.631736591785270929e+09
1.947651300000000000e+07, 3.796479800000000000e+07, 1.887745600000000000e+07, 3.028369999999999891e+02, 1.631736611065689087e+09
1.950193800000000000e+07, 3.794286300000000000e+07, 1.884960100000000000e+07, 3.028369999999999891e+02, 1.631736630185700178e+09
1.948957000000000000e+07, 3.660261300000000000e+07, 1.905537900000000000e+07, 3.028369999999999891e+02, 1.631736649625237942e+09
